Country	Div Rank	Gender Rank	Overall Rank	Swim	Bike	Run	Finish	Points
USA	29	190	1095	01:01:47	06:28:51	05:13:20	12:54:30	3534
USA	31	191	1099	01:14:25	06:49:22	04:31:47	12:54:49	3146
USA	23	195	1115	01:15:01	06:06:47	05:22:44	12:57:31	3591
USA	42	196	1118	01:35:37	06:25:27	04:43:55	12:58:09	2930
USA	24	197	1122	01:18:56	06:27:33	05:00:18	12:58:22	3581
USA	25	201	1137	01:19:50	06:52:18	04:37:23	13:00:13	2785
USA	26	202	1138	01:20:19	06:36:31	04:51:31	13:00:13	2785
USA	26	203	1139	01:30:41	06:30:24	04:43:31	13:00:39	3553
USA	27	204	1143	01:09:37	06:18:08	05:18:24	13:01:19	3545
USA	27	206	1151	01:02:19	06:24:36	05:23:55	13:01:50	2766
USA	32	212	1172	01:13:25	06:42:11	04:55:23	13:06:03	3396
USA	33	214	1175	01:14:01	06:27:48	05:12:03	13:06:34	3005
USA	45	216	1182	01:13:13	06:36:18	05:04:14	13:07:32	2818
USA	28	218	1185	01:21:25	06:43:01	04:52:32	13:07:51	3467
USA	37	223	1210	01:18:25	06:42:24	04:52:18	13:10:34	2957
USA	47	229	1230	01:29:54	06:19:43	05:06:12	13:13:35	2745
USA	26	230	1242	01:03:27	06:24:04	05:32:29	13:14:53	3280
USA	38	232	1248	01:17:23	06:56:34	04:46:02	13:16:10	2890
USA	27	234	1267	01:18:50	06:42:42	04:56:51	13:18:47	3234
USA	32	235	1275	01:27:22	06:44:06	04:54:15	13:19:44	3324
USA	8	238	1288	01:17:55	06:58:53	04:44:19	13:22:45	3643
USA	40	243	1299	01:14:14	06:38:25	05:10:06	13:24:23	2791
USA	51	246	1305	01:41:12	06:22:09	05:09:00	13:25:10	2606
USA	52	247	1306	01:29:10	07:00:53	04:37:33	13:25:12	2606
USA	29	251	1315	01:22:39	06:53:31	04:48:46	13:25:56	3148
USA	53	252	1319	01:34:35	06:58:21	04:40:16	13:26:37	2589
USA	35	253	1322	01:14:58	06:59:26	04:54:46	13:27:18	3234
USA	33	254	1325	00:59:11	06:26:25	05:49:20	13:27:43	2455
USA	30	255	1334	01:17:02	06:34:29	05:19:42	13:28:54	3112
USA	54	256	1337	01:34:35	07:12:35	04:25:52	13:29:12	2558
USA	36	257	1339	01:03:16	06:10:18	06:04:33	13:29:24	3208
USA	37	259	1342	01:17:19	06:50:36	05:07:05	13:29:53	3203
USA	55	260	1343	01:41:26	07:01:37	04:34:22	13:29:55	2549
USA	38	264	1353	01:13:09	07:01:00	05:05:03	13:32:10	3082
USA	42	265	1355	01:15:56	06:51:09	05:03:09	13:32:17	2697
USA	43	267	1361	01:05:58	06:54:44	05:16:54	13:33:09	2686
USA	39	272	1373	01:21:02	06:33:42	05:22:35	13:34:13	3058
USA	5	273	1380	01:17:01	06:50:02	05:15:44	13:34:54	3684
USA	32	274	1385	01:19:29	06:17:35	05:48:18	13:35:25	3034
USA	33	275	1386	01:16:38	06:50:46	05:06:08	13:35:30	3033
USA	39	276	1388	01:19:53	07:05:38	04:56:38	13:35:38	3134
USA	34	279	1392	01:29:58	06:38:02	05:08:38	13:36:41	3019
USA	10	281	1397	01:56:40	06:41:11	04:48:43	13:37:33	3466
USA	57	282	1401	01:32:02	06:48:58	05:02:10	13:38:05	2451
USA	46	284	1409	01:27:33	06:43:45	05:12:14	13:39:05	2615
USA	47	288	1420	01:27:32	06:43:37	05:16:29	13:39:54	2605
USA	48	291	1426	01:32:54	07:20:49	04:30:55	13:40:55	2593
USA	49	292	1430	01:21:55	07:14:00	04:50:33	13:41:19	2588
USA	35	293	1433	01:16:34	06:37:30	05:29:47	13:41:54	2956
USA	41	294	1441	01:24:55	07:11:15	04:48:26	13:42:24	3052
USA	36	295	1442	01:24:31	06:41:50	05:19:39	13:42:32	2949
USA	50	296	1444	01:10:46	07:16:56	05:03:57	13:42:58	2568
USA	58	298	1458	01:12:36	06:15:17	05:59:01	13:45:06	2367
USA	37	301	1467	01:20:08	07:20:22	04:48:17	13:45:37	2240
USA	42	302	1468	01:40:05	06:43:22	05:08:48	13:45:57	3010
USA	38	303	1473	01:26:02	06:30:17	05:23:44	13:47:01	2895
USA	39	305	1479	01:19:44	06:24:24	05:43:32	13:47:50	2885
USA	43	309	1497	01:24:52	06:40:09	05:28:28	13:50:33	2955
USA	7	310	1506	01:21:46	07:09:16	05:08:50	13:52:11	3476
USA	59	311	1509	01:23:55	06:36:59	05:33:42	13:52:22	2280
USA	47	313	1511	01:10:36	07:17:27	05:00:35	13:52:30	2838
USA	46	315	1521	01:09:52	06:40:17	05:45:03	13:54:50	2903
USA	53	316	1524	01:34:58	06:41:31	05:26:29	13:55:36	2417
USA	60	319	1528	01:35:55	06:53:08	05:12:27	13:56:32	2230
USA	48	321	1533	01:32:19	07:26:58	04:41:39	13:57:12	2782
USA	63	326	1549	01:28:36	06:30:38	05:43:39	13:59:36	2193
USA	43	328	1552	01:15:35	07:10:32	05:17:03	13:59:47	2742
USA	8	330	1557	01:21:00	07:21:18	05:02:35	14:00:51	3372
USA	50	333	1563	01:42:23	07:18:44	04:43:59	14:01:43	2821
USA	64	334	1564	01:39:17	07:14:00	04:52:15	14:01:47	2167
USA	52	337	1575	01:25:21	06:35:16	05:49:17	14:03:38	2798
USA	54	339	1586	01:30:12	07:07:51	05:12:40	14:05:20	2300
USA	67	340	1587	01:15:46	06:51:37	05:40:21	14:05:27	2123
USA	50	342	1596	01:13:43	06:41:11	05:41:14	14:07:24	2659
USA	44	344	1600	01:07:04	06:51:56	05:43:36	14:08:09	2641
USA	53	346	1610	01:35:55	07:20:28	04:59:28	14:10:21	2717
USA	56	348	1614	01:11:13	06:37:56	06:06:42	14:11:19	2228
USA	70	353	1640	01:24:11	07:21:41	05:08:18	14:16:23	1992
USA	55	356	1647	01:22:19	07:29:13	05:07:18	14:17:57	2626
USA	52	358	1649	01:33:28	06:54:38	05:33:46	14:18:15	2529
USA	56	359	1650	01:29:44	06:59:16	05:37:05	14:18:20	2621
USA	59	360	1656	01:13:53	07:39:40	05:10:23	14:19:41	2128
USA	11	363	1661	01:31:45	07:49:27	04:37:36	14:20:24	2951
USA	59	366	1672	01:53:23	07:11:21	04:56:23	14:22:24	2572
USA	53	367	1675	01:33:24	06:56:52	05:32:32	14:22:57	2473
USA	61	368	1680	01:24:34	07:31:39	05:09:58	14:23:46	2079
USA	54	371	1684	01:32:55	07:08:59	05:22:57	14:24:54	2449
USA	63	374	1688	01:25:18	07:07:05	05:40:54	14:25:21	2060
USA	57	377	1706	01:15:45	06:08:29	06:45:20	14:28:23	2408
USA	58	382	1718	01:36:48	07:49:24	04:52:32	14:30:26	2383
USA	59	383	1721	01:40:56	08:02:02	04:31:52	14:31:10	2374
USA	13	384	1723	01:33:54	07:12:57	05:13:30	14:31:25	2819
USA	65	385	1726	01:20:58	06:56:00	06:00:30	14:31:53	1981
USA	42	389	1737	01:32:26	06:57:21	05:45:45	14:33:07	1670
USA	74	390	1739	01:45:46	07:45:07	04:52:22	14:33:26	1787
USA	60	391	1742	01:38:19	07:13:45	05:19:07	14:34:33	2427
USA	66	392	1743	01:10:57	07:28:18	05:38:51	14:34:43	1947
USA	75	394	1747	01:37:18	07:29:56	05:13:10	14:35:25	1763
USA	67	399	1763	01:10:57	07:57:01	05:05:23	14:38:46	1899
USA	62	403	1774	01:26:55	07:41:15	05:15:24	14:41:29	2250
USA	46	407	1788	01:33:14	07:33:17	05:24:19	14:43:50	1542
USA	69	408	1791	01:03:19	06:51:15	06:32:16	14:44:03	1835
USA	63	411	1802	01:11:52	07:33:33	05:42:54	14:46:48	2187
USA	64	413	1807	01:06:01	07:10:24	06:15:43	14:47:30	2178
USA	63	414	1808	01:13:41	06:29:27	06:45:58	14:47:49	2267
USA	65	415	1809	01:29:04	07:41:52	05:16:54	14:48:17	2169
USA	47	418	1815	01:26:58	07:40:46	05:20:04	14:50:27	1462
USA	16	422	1839	01:25:32	07:40:52	05:19:30	14:54:48	2539
USA	56	423	1844	01:18:48	07:48:10	05:33:48	14:56:47	2058
USA	76	424	1852	01:27:29	07:31:46	05:35:07	14:58:18	1489
USA	71	426	1854	01:33:59	07:07:45	06:03:01	14:58:30	1662
USA	64	427	1856	01:20:02	07:00:39	06:14:50	14:58:56	2134
USA	77	428	1861	01:36:48	06:51:55	06:04:47	15:00:00	1468
USA	65	429	1863	01:33:02	08:21:13	04:47:41	15:00:28	2116
USA	17	431	1868	01:38:27	07:47:46	05:14:59	15:00:52	2466
USA	67	435	1876	01:35:08	07:02:34	05:57:15	15:03:09	2083
USA	68	436	1881	01:25:22	07:03:27	06:21:43	15:04:47	2064
USA	80	437	1885	01:30:08	07:16:15	06:01:39	15:05:24	1403
