Country	Div Rank	Gender Rank	Overall Rank	Swim	Bike	Run	Finish	Points
USA	185	1555	2053	01:12:51	07:40:52	06:43:58	16:02:03	1000
USA	186	1572	2077	01:14:10	07:39:53	07:03:47	16:11:43	1000
USA	187	1594	2116	01:14:32	07:16:49	07:39:19	16:31:51	1000
USA	188	1605	2137	01:17:33	07:49:08	07:14:54	16:41:00	1000
USA	---	---	---	01:38:14	08:46:21	---	DNF	---
USA	---	---	---	01:33:18	---	---	DNF	---
USA	---	---	---	00:53:55	---	---	DNF	---
USA	---	---	---	---	---	---	DNS	---
USA	---	---	---	01:08:00	---	---	DNF	---
USA	---	---	---	01:12:42	06:15:24	---	DNF	---
USA	---	---	---	01:05:36	05:06:53	---	DNF	---
USA	---	---	---	01:21:45	---	---	DNF	---
USA	---	---	---	---	---	---	DNS	---
