Name	o.rank	d.rank	g.rank	bib	age
Jill Schapiro	DNF	NA	NA	1154	58
Mary Smith	2135	27	538	1156	57
Janette Spring	1855	23	424	1157	55
Jill Starz	1630	14	327	1158	57
Julie Valenti	1343	8	224	1159	55
Jerome Bresson	10	1	10	115	33
Debra Vieira	DNF	NA	NA	1160	55
Christine Walsh	1208	5	194	1161	58
Terry Williams	DNF	NA	NA	1162	59
Lucie Boudreau	1941	3	462	1163	59
Elizabeth Carroll	DNF	NA	NA	1165	62
Jennifer Eckert	1748	1	375	1166	62
Kitty Fair	DNF	NA	NA	1168	NA
Madeline Journey-Lynn	1979	4	476	1169	60
Nicolas Courville	39	7	37	116	32
Wanda Karia	2074	6	513	1170	62
Leslie Mellet	1788	2	394	1171	62
Esther Pauls	2115	8	528	1172	62
Virginia Touhey	2199	9	569	1173	60
Joan Tranmer	DNF	NA	NA	1174	63
Nancy Lieberman	2178	1	560	1175	66
Charles-Eric Benoit	1578	36	1269	1178	23
Ben Besse	81	2	75	1179	24
Eduardo De La Garza	372	56	327	117	32
Camil Blanchet	1098	23	932	1180	21
Julien Blanchet	863	16	748	1181	23
Chris Boileau	1379	32	1143	1182	21
Connor Boyd	1753	40	1376	1185	22
Samuel Caramante	2164	47	1614	1186	20
Trevor Clark	199	3	182	1187	22
Olivier Cote	915	18	790	1188	23
Philippe Cousineau	866	17	751	1189	23
Marc-Antoine Langlois	55	12	52	118	33
Nick Damico	935	19	802	1190	22
David Des Rochers	2010	44	1520	1191	21
Jean-Christophe Desmarais	DNF	NA	NA	1192	21
Brett Deters	641	13	559	1193	22
Zachary Devries	1071	21	913	1194	22
Chris Dissegna	2234	48	1651	1195	23
Alexandre Duranceau	1108	24	936	1196	22
Scott Elder	636	12	554	1197	23
Pier-Luc Fortin	1317	29	1101	1198	20
Chris Sanders	323	48	290	119	34
Chris Bagg	DNF	NA	NA	11	37
Jean-Francois Gagnon	1318	30	1102	1200	20
Gavin Gilmour	529	9	460	1201	22
Soleien Gomez-Monastesse	1006	20	865	1202	24
Felix Heroux-Boisvert	413	6	363	1203	19
Karl Hoppner	838	15	731	1204	23
Anthony Kita	DNF	NA	NA	1205	22
John-Paul Koenig	520	7	453	1206	22
Rajit Krishnamurthy	DNF	NA	NA	1207	23
Charles-Antoine Lafleur	1424	34	1176	1208	21
Benjamin Lebrun	2035	45	1534	1209	23
Michael Spiegel	31	5	29	120	33
Nick Mariano	2163	46	1613	1210	21
Darragh Monaghan	1180	25	991	1211	19
Cameron Neeley	1583	37	1274	1212	18
Tom O'Donohue	1249	27	1044	1213	20
Frederik Pouliot	1390	33	1148	1214	24
Nicholas Predki	1281	28	1073	1215	23
Derek Quong	1085	22	923	1216	18
Luke Rahm	1865	42	1439	1217	22
Carter Reading	1564	35	1260	1218	22
Laurent Rene De Cotret	1829	41	1419	1219	24
Mike Vanacora	25	4	23	121	30
Philippe Rich	1349	31	1122	1220	22
Benjamin Rudson	33	1	31	1221	21
Andrew Shure	2008	43	1518	1222	24
Julien Simard	1706	39	1350	1223	23
Temple Sloan	522	8	455	1224	24
Adam Szkraba	1188	26	997	1226	24
Francis Tremblay	799	14	696	1227	23
Duncan Webster	548	10	477	1228	23
Jean Amiouny	1691	111	1343	1229	26
Greg Binns	42	6	39	122	35
Cathy Salvo	DNF	NA	NA	1230	47
Assaf Barkaie	859	75	745	1231	29
Michael Barth	1728	114	1362	1232	26
Nick Bedbury	264	32	238	1233	27
Taylor Black	414	42	364	1234	26
Gabe Blanchet	1097	86	931	1235	25
Nicholas Blanchet	620	60	540	1236	27
Collin Bland	1404	102	1161	1237	25
Kevin Blouin	1123	87	950	1238	28
Jonathan Bond	1574	107	1267	1239	25
Francky Favre	36	4	34	123	39
Vincent Boulanger	254	30	229	1240	28
Gordie Bufton	279	33	251	1242	28
Chris Busset	69	11	65	1243	24
Adrian Byers	1926	122	1471	1244	26
Andrew Cahill	580	56	505	1245	25
Cody Caissie	291	34	261	1246	24
Sean Cameron	1571	106	1264	1247	26
Benjamin Caplin	726	65	632	1248	28
Jeff Carrol	435	43	384	1249	28
Brian Harapnuk	136	23	122	124	35
Alan Carstens Robert	1781	116	1393	1250	28
Adam Cella	1663	110	1325	1251	26
Benjamin Cohen	886	79	770	1252	26
Jacob Conner	DNF	NA	NA	1253	25
Tyler Coquelin	523	53	456	1254	26
Ludovic Croteau	1864	121	1438	1255	27
Olivier Daoust	1322	94	1104	1256	26
Jordan David	1400	101	1158	1257	24
Joshua David	1209	90	1015	1258	27
Jeffrey Day	970	82	834	1259	26
Jp Leclerc	70	12	66	125	34
Daniel Demarco	1364	96	1130	1260	25
Tom Dennis	2191	126	1626	1261	28
Michael Devlin	823	74	718	1262	26
Rui Dong	2237	128	1652	1263	26
Pierre-Marc Doyon	7	1	7	1264	26
Nathan Dubois	2166	125	1615	1265	28
Raphael Fontaine	612	59	532	1267	25
Robert Forshaw	874	77	759	1268	25
William Fortin	133	17	119	1269	27
Tyler Long	382	64	335	126	38
Alexandre Gagnon	56	7	53	1270	28
Simon Giguere	DNF	NA	NA	1272	25
Maurice Goldstein	325	38	292	1273	29
Remi Gourdeau	375	39	329	1274	28
Steven Halewski	294	35	264	1275	27
Brendan Heller	1004	83	863	1276	26
John Hillman	750	71	653	1278	28
Chris Jackson	DNF	NA	NA	1279	NA
Kevin Van Geest	59	10	56	127	NA
Joshua Jahani	1841	120	1425	1280	NA
Paul Jakinovich	931	81	799	1281	27
Sam Johnson	1438	105	1186	1282	25
Olivier Jolicoeur	1163	88	977	1283	26
Joel Kenney	744	69	648	1284	27
Cason King	640	62	558	1285	26
Julien Lacombe	146	18	131	1286	28
Francois-Yves Lafleur-Pepin	DNF	NA	NA	1287	29
Kevin Lampron	1419	103	1173	1288	25
Victor Larocque	DNF	NA	NA	1289	25
Scott Yates	114	19	105	128	35
